instancia,n,bks,costo_mejor,costo_prom,costo_std,gap_mejor,gap_prom,gap_std,tiempo_prom_s
E-n13-k4,12,247.0,251.0,256.61290322580646,3.018580453953353,1.6194331983805668,3.8918636541726523,1.2220973497786867,0.0662057064558124
E-n22-k4,21,375.0,376.0,392.48387096774195,12.285142700953687,0.26666666666666666,4.662365591397849,3.2760380535876505,0.08637781613018183
E-n23-k3,22,569.0,569.0,569.1935483870968,0.4016096644512589,0.0,0.03401553376041726,0.07058166334819849,0.09567796774377536
A-n32-k5,31,784.0,786.0,816.7096774193549,25.36821311324744,0.25510204081632654,4.1721527320605665,3.2357414685264603,0.10554219999880109
A-n33-k5,32,661.0,697.0,727.5806451612904,16.183889506848843,5.446293494704992,10.072714850422136,2.448394781671536,0.10595996128658074
A-n60-k9,59,1354.0,1486.0,1560.5483870967741,56.34290177693335,9.748892171344165,15.254681469481108,4.161218742757265,0.17237039677321822
A-n80-k10,79,1763.0,1911.0,2045.3548387096773,71.31738842998321,8.394781622234827,16.015589263169453,4.045229065795993,0.22596390645447817
E-n76-k10,75,830.0,924.0,1013.1935483870968,40.275235860959434,11.325301204819278,22.07151185386708,4.852438055537283,0.21199579354781176
E-n101-k8,100,815.0,954.0,1033.7096774193549,44.16951705145917,17.05521472392638,26.835543241638632,5.419572644350815,0.3063620709647019
